TIME_WK,WTKG,PTILE,SEXF
22,0.4105,3,0
23,0.4279,3,0
24,0.4541,3,0
25,0.5066,3,0
26,0.5415,3,0
27,0.5764,3,0
28,0.5764,3,0
29,0.6201,3,0
30,0.69,3,0
31,0.786,3,0
32,0.9083,3,0
33,1.0742,3,0
34,1.2576,3,0
35,1.4847,3,0
36,1.7031,3,0
37,1.9127,3,0
38,2.1397,3,0
39,2.4081,3,0
40,2.7336,3,0
22,0.4629,10,0
23,0.4803,10,0
24,0.5415,10,0
25,0.5764,10,0
26,0.6376,10,0
27,0.7074,10,0
28,0.786,10,0
29,0.8908,10,0
30,1.0131,10,0
31,1.1354,10,0
32,1.3188,10,0
33,1.5022,10,0
34,1.7293,10,0
35,1.9389,10,0
36,2.1834,10,0
37,2.393,10,0
38,2.6026,10,0
39,2.7948,10,0
40,2.9956,10,0
22,0.5415,50,0
23,0.5764,50,0
24,0.6638,50,0
25,0.7511,50,0
26,0.8472,50,0
27,0.9607,50,0
28,1.0917,50,0
29,1.2227,50,0
30,1.3886,50,0
31,1.5895,50,0
32,1.7904,50,0
33,2,50,0
34,2.2445,50,0
35,2.4978,50,0
36,2.7424,50,0
37,2.952,50,0
38,3.1616,50,0
39,3.3624,50,0
40,3.5808,50,0
22,0.6463,90,0
23,0.69,90,0
24,0.8035,90,0
25,0.9083,90,0
26,1.0393,90,0
27,1.1965,90,0
28,1.3537,90,0
29,1.5284,90,0
30,1.7555,90,0
31,2.0087,90,0
32,2.2358,90,0
33,2.4978,90,0
34,2.7773,90,0
35,3.048,90,0
36,3.3013,90,0
37,3.5371,90,0
38,3.7467,90,0
39,3.9825,90,0
40,4.1834,90,0
22,0.6987,97,0
23,0.7424,97,0
24,0.8646,97,0
25,0.9956,97,0
26,1.1354,97,0
27,1.2926,97,0
28,1.476,97,0
29,1.6681,97,0
30,1.9039,97,0
31,2.1659,97,0
32,2.4279,97,0
33,2.7162,97,0
34,3.0131,97,0
35,3.2838,97,0
36,3.5459,97,0
37,3.7991,97,0
38,4.0437,97,0
39,4.2707,97,0
40,4.4803,97,0
